date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-09-23,0,406,271056,667.625615763547,,,,,,0,,0,0,,0,,1,,,,,,31112484745,0,,31112484745,,,,,,,,,,
2017-09-24,8,4320,2876663,665.894212962963,,0.1398796,,0.170894,,0.699398,,0,0,,0,,31112484745,,,,,,31112484745,5,9,1,,0.311991111111111,,0.558212,,2.80792,,,,
2017-09-25,16,4320,2742565,634.853009259259,,0.065079625,,0,,0.520637,,0,0,,0,,6222496949,,,,,,31112484745,8,11,5,,0.648870454545455,,1,,7.137575,,,,
2017-09-26,4,4320,2863442,662.833796296296,,0.178761,,0.178761,,0.178761,,0,0,,0,,24318731075.54306323,,,,,,31112484745,1,2,1.279363,,0.550301,,1.100602,,1.100602,,,,
2017-09-27,12,4320,2741944,634.709259259259,,0.1139295,,0.1708065,,0.683577,,0,0,,0,,12.63157898,,,,,,31112484745,6,9,2463071703.33,,547349267.147281,,0.964553,,4926143404.325529,,,,
2017-09-28,65,4306,2888367,670.777287505806,,0.0623881388888889,,0,,2.245973,,0,0,,0,,8.82703161,,,,,,31112484745,36,48,3524682603.129193,,113938314.349293,,749991.5,,5469039088.76606,,,,
2017-09-29,4747,4320,3556882,823.352314814815,,0.0392625082428629,,0,,97.645858,,0,0,,0,,7.70470378,,,,,,31112484745,2487,3035,4038115630.300489,,2345286.61214637,,825277,,7117944867.86424,,,,
2017-09-30,4976,4319,3489211,807.874739523038,,0.0578159422468354,,0,,146.158702,,0,0,,0,,6.57721432,,,,,,31112484745,2528,3351,4730343765.533168,,2720713.2797026,,791085,,9117110200.283407,,,,
2017-10-01,5973,4316,3869136,896.463392029657,,0.0940474111757106,,0.17107,,291.170785,,0,0,,0,,6.8957121,,,,,,31112484745,3096,4757,4511859589.321668,,4228024.03408753,,833347,,20112710330.154371,,,,
2017-10-02,5858,4314,3706416,859.159944367177,,0.107398777777778,,0.17107,,316.074603,,0,0,,0,,7.71871263,,,,,,31112484745,2943,4735,4030786769.507915,,8798568.94591527,,983735,,41661223958.908822,,,,
2017-10-03,3701,4320,3469263,803.070138888889,,0.100819127765487,,0.17107,,182.280983,,0,0,,0,,10.35466974,,,,,,31112484745,1808,2826,3004681512.836356,,8306338.37602407,,817787.153662,,23473712250.644016,,,,
2017-10-04,1769,4319,3130826,724.896040750174,,0.0697889918509895,,0,,59.948744,,0,0,,0,,21.27491584,,,,,,31112484745,859,1194,1462402247.964811,,8344874.6490089,,770521.657508,,9963780330.916623,,,,
2017-10-05,2454,4320,3157743,730.959027777778,,0.131437752724225,,0.17107,,156.805239,,0,0,,0,,14.57157041,,,,,,31112484745,1193,2075,2135149738.187917,,9030554.91667272,,1800401.657684,,18738401452.09589,,,,
2017-10-06,1844,4320,3177892,735.623148148148,,0.128795699662542,,0.17107,,114.499377,,0,0,,0,,15.63403416,,,,,,31112484745,889,1537,1990048404.572211,,9513442.68397571,,3146000.486262,,14622161405.270668,,,,
2017-10-07,1371,4320,2966675,686.730324074074,,0.122043463487332,,0.17107,,81.891164,,0,0,,0,,24.5634331,,,,,,31112484745,671,1131,1266617928.350109,,8895815.32211905,,1964761,,10061167129.31665,,,,
2017-10-08,1406,4319,3118225,721.978467237787,,0.133993509572901,,0.17107,,90.981593,,0,0,,0,,33.99439327,,,,,,31112484745,679,1200,915224004.752715,,8526550.06596314,,2604037.829062,,10231860079.155764,,,,
2017-10-09,1460,4319,3124999,723.546885853207,,0.129170683823529,,0.17107,,87.836065,,0,0,,0,,26.81232118,,,,,,31112484745,680,1172,1160380130.16821,,6875748.46366447,,1497190.23544,,8058377199.414759,,,,
2017-10-10,1376,4319,2973712,688.518638573744,,0.122025122727273,,0.17107,,80.536581,,0,0,,0,,21.49946978,,,,,,31112484745,660,1120,1447128001.632221,,8559530.39180188,,2095835.606522,,9586674038.8181,,,,
2017-10-11,1172,4319,3061365,708.813382727483,,0.126653895870736,,0.17107,,70.54622,,0,0,,0,,23.8793614,,,,,,31112484745,557,956,1302902712.508597,,7179457.53483871,,1990037,,6863561403.305807,,,,
2017-10-12,1411,4320,2980765,689.991898148148,,0.128343584821429,,0.17107,,86.246889,,0,0,,0,,22.12948131,,,,,,31112484745,672,1164,1405929235.862828,,7317206.77937862,,2047767,,8517228691.196718,,,,
2017-10-13,1642,4320,3169689,733.724305555556,,0.141126883631714,,0.17107,,110.361223,,0,0,,0,,22.64909482,,,,,,31112484745,782,1407,1373674532.592331,,6634265.37255068,,4102862.729481,,9334411379.178805,,,,
2017-10-14,1944,4320,3223179,746.10625,,0.152925087096774,,0.171246,,142.220331,,0,0,,0,,27.53956425,,,,,,31112484745,930,1742,1129737727.789108,,6423788.43412443,,20641898.743285,,11190239452.244754,,,,
2017-10-15,1450,4320,3009238,696.58287037037,,0.143968129476584,,0.171246,,104.520862,,0,0,,0,,31.80908713,,,,,,31112484745,726,1319,978100522.7355,,6459507.85687065,,20168760.759777,,8520090863.212384,,,,
2017-10-16,1311,4320,3098095,717.15162037037,,0.148742643769968,,0.171246,,93.112895,,0,0,,0,,24.1905397,,,,,,31112484745,626,1166,1286142646.408118,,6583640.44907024,,19023905.251643,,7676524763.615894,,,,
2017-10-17,1343,4320,2988840,691.861111111111,,0.155958101644245,,0.171246,,104.33597,,0,0,,0,,26.68609036,,,,,,31112484745,669,1272,1165868972.471487,,8295634.09229178,,17754527.906924,,10552046565.395145,,,,
2017-10-18,1042,4320,3080691,713.122916666667,,0.156747828685259,,0.171246,,78.68741,,0,0,,0,,4.71047201,,,,,,31112484745,502,951,6604961176.682603,,17942748.2946299,,16393856.88263,,17063553628.193078,,,,
